Article title,Year,Author,terms,Synonym,Definition,Reference
"A Taxonomy of Phishing: Attack Types Spanning Economic, Temporal, Breath, and Target Boundaries",2018,"Daile Pienta, Jason Bennet Thatcher, Allen C. Johnston",anti-phishing,,,
"A Taxonomy of Phishing: Attack Types Spanning Economic, Temporal, Breath, and Target Boundaries",2018,"Daile Pienta, Jason Bennet Thatcher, Allen C. Johnston",anti-phishing | detector,,,
"A Taxonomy of Phishing: Attack Types Spanning Economic, Temporal, Breath, and Target Boundaries",2018,"Daile Pienta, Jason Bennet Thatcher, Allen C. Johnston", anti-phishing |email,,,
"A Taxonomy of Phishing: Attack Types Spanning Economic, Temporal, Breath, and Target Boundaries",2018,"Daile Pienta, Jason Bennet Thatcher, Allen C. Johnston", anti-phishing |email| tool,,,
"A Taxonomy of Phishing: Attack Types Spanning Economic, Temporal, Breath, and Target Boundaries",2018,"Daile Pienta, Jason Bennet Thatcher, Allen C. Johnston", anti-phishing |email| tool | mechanism,,,
"A Taxonomy of Phishing: Attack Types Spanning Economic, Temporal, Breath, and Target Boundaries",2018,"Daile Pienta, Jason Bennet Thatcher, Allen C. Johnston", anti-phishing |email| tool | mechanism| block,,,
"A Taxonomy of Phishing: Attack Types Spanning Economic, Temporal, Breath, and Target Boundaries",2018,"Daile Pienta, Jason Bennet Thatcher, Allen C. Johnston", anti-phishing |email| tool | mechanism|filter,,,
"A Taxonomy of Phishing: Attack Types Spanning Economic, Temporal, Breath, and Target Boundaries",2018,"Daile Pienta, Jason Bennet Thatcher, Allen C. Johnston",anti-phishing | software,,,
"A Taxonomy of Phishing: Attack Types Spanning Economic, Temporal, Breath, and Target Boundaries",2018,"Daile Pienta, Jason Bennet Thatcher, Allen C. Johnston",anti-phishing | software | choice,,,
"A Taxonomy of Phishing: Attack Types Spanning Economic, Temporal, Breath, and Target Boundaries",2018,"Daile Pienta, Jason Bennet Thatcher, Allen C. Johnston",anti-phishing | software | cybersecurity,,,
"A Taxonomy of Phishing: Attack Types Spanning Economic, Temporal, Breath, and Target Boundaries",2018,"Daile Pienta, Jason Bennet Thatcher, Allen C. Johnston",breach | security,,,
"A Taxonomy of Phishing: Attack Types Spanning Economic, Temporal, Breath, and Target Boundaries",2018,"Daile Pienta, Jason Bennet Thatcher, Allen C. Johnston",breach | social | engineered,,,
"A Taxonomy of Phishing: Attack Types Spanning Economic, Temporal, Breath, and Target Boundaries",2018,"Daile Pienta, Jason Bennet Thatcher, Allen C. Johnston",cloning social engineering,,,
"A Taxonomy of Phishing: Attack Types Spanning Economic, Temporal, Breath, and Target Boundaries",2018,"Daile Pienta, Jason Bennet Thatcher, Allen C. Johnston",cybercriminal ,,,
"A Taxonomy of Phishing: Attack Types Spanning Economic, Temporal, Breath, and Target Boundaries",2018,"Daile Pienta, Jason Bennet Thatcher, Allen C. Johnston",cybersecurity,,,
"A Taxonomy of Phishing: Attack Types Spanning Economic, Temporal, Breath, and Target Boundaries",2018,"Daile Pienta, Jason Bennet Thatcher, Allen C. Johnston",cybersecurity | countermeasure,,,
"A Taxonomy of Phishing: Attack Types Spanning Economic, Temporal, Breath, and Target Boundaries",2018,"Daile Pienta, Jason Bennet Thatcher, Allen C. Johnston",cybersecurity | countermeasure | technical ,,,
"A Taxonomy of Phishing: Attack Types Spanning Economic, Temporal, Breath, and Target Boundaries",2018,"Daile Pienta, Jason Bennet Thatcher, Allen C. Johnston",cybersecurity | countermeasure | technical | circumventing,,,
"A Taxonomy of Phishing: Attack Types Spanning Economic, Temporal, Breath, and Target Boundaries",2018,"Daile Pienta, Jason Bennet Thatcher, Allen C. Johnston",link ,,,
"A Taxonomy of Phishing: Attack Types Spanning Economic, Temporal, Breath, and Target Boundaries",2018,"Daile Pienta, Jason Bennet Thatcher, Allen C. Johnston",link | weak,,,
"A Taxonomy of Phishing: Attack Types Spanning Economic, Temporal, Breath, and Target Boundaries",2018,"Daile Pienta, Jason Bennet Thatcher, Allen C. Johnston",link | malicious,,,
"A Taxonomy of Phishing: Attack Types Spanning Economic, Temporal, Breath, and Target Boundaries",2018,"Daile Pienta, Jason Bennet Thatcher, Allen C. Johnston",malware,,,
"A Taxonomy of Phishing: Attack Types Spanning Economic, Temporal, Breath, and Target Boundaries",2018,"Daile Pienta, Jason Bennet Thatcher, Allen C. Johnston",person,,,
"A Taxonomy of Phishing: Attack Types Spanning Economic, Temporal, Breath, and Target Boundaries",2018,"Daile Pienta, Jason Bennet Thatcher, Allen C. Johnston",person | criminal | cyber,cybercriminal ,,
"A Taxonomy of Phishing: Attack Types Spanning Economic, Temporal, Breath, and Target Boundaries",2018,"Daile Pienta, Jason Bennet Thatcher, Allen C. Johnston",person | professional | security,,,
